patient_id,dose,viability,log_dose
ACH-000052,0.0625,0.7248789237152365,-2.772588722239781
ACH-000052,0.015625,0.6169369440339707,-4.1588830833596715
ACH-000052,0.00390625,0.7519675376927907,-5.545177444479562
ACH-002145,1.0,0.9028208439440863,0.0
ACH-002145,0.25,0.9182430557346336,-1.3862943611198906
ACH-002145,0.0625,0.9307307981252662,-2.772588722239781
ACH-002145,0.015625,0.8984223633957911,-4.1588830833596715
ACH-002145,0.00390625,0.945879786130428,-5.545177444479562
ACH-000448,1.0,0.2437876877923311,0.0
ACH-000448,0.25,0.2505897119183612,-1.3862943611198906
ACH-000448,0.0625,0.282245719696363,-2.772588722239781
ACH-000448,0.015625,0.2749416030311721,-4.1588830833596715
ACH-000448,0.00390625,0.3894380442085227,-5.545177444479562
ACH-002162,1.0,0.1279987110474649,0.0
ACH-002162,0.25,0.1419703288137443,-1.3862943611198906
ACH-002162,0.0625,0.1158043070282976,-2.772588722239781
ACH-002162,0.015625,0.1410555077699268,-4.1588830833596715
ACH-002162,0.00390625,0.1687815401774623,-5.545177444479562
ACH-000814,1.0,0.4427563007526243,0.0
ACH-000814,0.25,0.4968433529046919,-1.3862943611198906
ACH-000814,0.0625,0.4778518381701431,-2.772588722239781
ACH-000814,0.015625,0.4658340858273134,-4.1588830833596715
ACH-000814,0.00390625,0.5414861169747006,-5.545177444479562
ACH-000970,1.0,0.4288876383806856,0.0
ACH-000970,0.25,0.4714223143120924,-1.3862943611198906
ACH-000970,0.0625,0.5418692600632927,-2.772588722239781
ACH-000970,0.015625,0.5846360479417313,-4.1588830833596715
ACH-000970,0.00390625,0.7087532241194,-5.545177444479562
ACH-000327,1.0,0.6196620662436211,0.0
ACH-000327,0.25,0.6474746918893057,-1.3862943611198906
ACH-000327,0.0625,0.7632055566966036,-2.772588722239781
ACH-000327,0.015625,0.8696162713144839,-4.1588830833596715
ACH-000327,0.00390625,0.92570949407501,-5.545177444479562
ACH-002310,1.0,0.3346642215301471,0.0
ACH-002310,0.25,0.3513716212505011,-1.3862943611198906
ACH-002310,0.0625,0.3443796062553169,-2.772588722239781
ACH-002310,0.015625,0.4295202661178119,-4.1588830833596715
ACH-002310,0.00390625,0.4504976085639317,-5.545177444479562
ACH-002238,1.0,0.8675904047400097,0.0
ACH-002238,0.25,0.9031636401694924,-1.3862943611198906
ACH-002238,0.0625,0.9189528302264286,-2.772588722239781
ACH-002238,0.015625,0.8877328879090359,-4.1588830833596715
ACH-002238,0.00390625,0.9939497159057096,-5.545177444479562
ACH-000219,1.0,0.0660810178994048,0.0
ACH-000219,0.25,0.0530080428225867,-1.3862943611198906
ACH-000219,0.0625,0.0305937227715937,-2.772588722239781
ACH-000219,0.015625,0.0522216902567513,-4.1588830833596715
ACH-000219,0.00390625,0.1016026682364028,-5.545177444479562
ACH-001528,1.0,0.1290092748366613,0.0
ACH-001528,0.25,0.127376558340245,-1.3862943611198906
ACH-001528,0.0625,0.1658209181347176,-2.772588722239781
ACH-001528,0.015625,0.1914599404115596,-4.1588830833596715
ACH-001528,0.00390625,0.2968939091791048,-5.545177444479562
ACH-000893,1.0,0.8259845368535093,0.0
ACH-000893,0.25,0.7498256935659758,-1.3862943611198906
ACH-000893,0.0625,0.7586282605150463,-2.772588722239781
ACH-000893,0.015625,0.8985770005574615,-4.1588830833596715
ACH-000893,0.00390625,0.947452009285054,-5.545177444479562
ACH-000810,1.0,0.1692854234096639,0.0
ACH-000810,0.25,0.1810736945342207,-1.3862943611198906
ACH-000810,0.0625,0.1664520605184091,-2.772588722239781
ACH-000810,0.015625,0.2048909800355324,-4.1588830833596715
ACH-000810,0.00390625,0.265107163772264,-5.545177444479562
ACH-000656,1.0,0.7677703775469483,0.0
ACH-000656,0.25,0.8279896712972127,-1.3862943611198906
ACH-000656,0.0625,0.8674424881332367,-2.772588722239781
ACH-000656,0.015625,0.8597692734784308,-4.1588830833596715
ACH-000656,0.00390625,0.9158503468347258,-5.545177444479562
ACH-000258,1.0,0.0856702094628539,0.0
ACH-000258,0.25,0.1065849665190779,-1.3862943611198906
ACH-000258,0.0625,0.0937198308892021,-2.772588722239781
ACH-000258,0.015625,0.0930157654979589,-4.1588830833596715
ACH-000258,0.00390625,0.0860236838227644,-5.545177444479562
ACH-000995,1.0,0.8577106832780896,0.0
ACH-000995,0.25,0.8655104431734136,-1.3862943611198906
ACH-000995,0.0625,0.8795403163775564,-2.772588722239781
ACH-000995,0.015625,0.9317784801434084,-4.1588830833596715
ACH-000995,0.00390625,0.9048654862727544,-5.545177444479562
ACH-000552,1.0,0.119380448761934,0.0
ACH-000552,0.25,0.0785604249523605,-1.3862943611198906
ACH-000552,0.0625,0.0963600185852813,-2.772588722239781
ACH-000552,0.015625,0.0938316921188137,-4.1588830833596715
ACH-000552,0.00390625,0.1862724591200824,-5.545177444479562
ACH-000258,1.0,0.0910272283272156,0.0
ACH-000258,0.25,0.0888909385025769,-1.3862943611198906
ACH-000258,0.0625,0.0873556129228354,-2.772588722239781
ACH-000258,0.015625,0.0823123323327477,-4.1588830833596715
ACH-000258,0.00390625,0.0852231607625414,-5.545177444479562
ACH-002121,1.0,0.0122528575245914,0.0
ACH-002121,0.25,0.0169138057579062,-1.3862943611198906
ACH-002121,0.0625,0.0114890280278678,-2.772588722239781
ACH-002121,0.015625,0.0199676798327083,-4.1588830833596715
ACH-002121,0.00390625,0.017172266022393,-5.545177444479562
ACH-000360,1.0,0.7663652333966603,0.0
ACH-000360,0.25,0.8488810327253876,-1.3862943611198906
ACH-000360,0.0625,0.971284312911002,-2.772588722239781
ACH-000360,0.015625,0.9331219068040908,-4.1588830833596715
ACH-000360,0.00390625,0.9180418957780692,-5.545177444479562
ACH-002143,1.0,0.4322808695968671,0.0
ACH-002143,0.25,0.464612712135436,-1.3862943611198906
ACH-002143,0.0625,0.4779130818980305,-2.772588722239781
ACH-002143,0.015625,0.5140913022979282,-4.1588830833596715
ACH-002143,0.00390625,0.4960578633564986,-5.545177444479562
ACH-000552,1.0,0.1016008368992347,0.0
ACH-000552,0.25,0.1346414544204899,-1.3862943611198906
ACH-000552,0.0625,0.0796002567965799,-2.772588722239781
ACH-000552,0.015625,0.0890659026467678,-4.1588830833596715
ACH-000552,0.00390625,0.1736372501056081,-5.545177444479562
ACH-000465,1.0,0.3082031310652402,0.0
ACH-000465,0.25,0.3414587154465417,-1.3862943611198906
ACH-000465,0.0625,0.3699885463334608,-2.772588722239781
ACH-000465,0.015625,0.3950823961598432,-4.1588830833596715
ACH-000465,0.00390625,0.5357284345151285,-5.545177444479562
ACH-000657,1.0,0.2527817255135012,0.0
ACH-000657,0.25,0.3121131754642711,-1.3862943611198906
ACH-000657,0.0625,0.4777348581961653,-2.772588722239781
ACH-000657,0.015625,0.6882517853531599,-4.1588830833596715
ACH-000657,0.00390625,0.7196953854580769,-5.545177444479562
ACH-000580,1.0,0.0980097037611287,0.0
ACH-000580,0.25,0.1011481423936156,-1.3862943611198906
ACH-000580,0.0625,0.1212840865301454,-2.772588722239781
ACH-000580,0.015625,0.115497096463596,-4.1588830833596715
ACH-000580,0.00390625,0.1627432928088488,-5.545177444479562
ACH-000219,1.0,0.0563081674417406,0.0
ACH-000219,0.25,0.0328260994385446,-1.3862943611198906
ACH-000219,0.0625,0.0326309163748251,-2.772588722239781
ACH-000219,0.015625,0.0544387601511023,-4.1588830833596715
ACH-000219,0.00390625,0.1435441216216579,-5.545177444479562
ACH-000812,1.0,0.2519086946632498,0.0
ACH-000812,0.25,0.2981577450035247,-1.3862943611198906
